college_name,branch,category,year,round,cutoff,college_type,city
"Government Polytechnic, Murtijapur",Computer Engineering,OPEN,2023,1,90.54,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,OPEN,2023,2,85.67,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,OPEN,2023,3,81.21,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,OPEN,2024,1,94.66,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,OPEN,2024,2,90.75,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,OPEN,2024,3,85.88,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,SC,2023,1,79.9,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,SC,2023,2,74.36,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,SC,2023,3,73.33,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,SC,2024,1,80.06,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,SC,2024,2,82.0,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,SC,2024,3,73.78,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,ST,2023,1,74.69,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,ST,2023,2,70.44,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,ST,2023,3,69.73,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,ST,2024,1,78.25,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,ST,2024,2,76.19,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,ST,2024,3,71.77,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,VJ,2023,1,79.94,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,VJ,2023,2,74.39,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,VJ,2023,3,69.05,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,VJ,2024,1,81.59,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,VJ,2024,2,80.07,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,VJ,2024,3,74.67,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,NT,2023,1,77.59,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,NT,2023,2,76.43,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,NT,2023,3,72.85,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,NT,2024,1,80.72,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,NT,2024,2,78.67,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,NT,2024,3,74.35,Government,Murtijapur
